Invoice No,PO No,Invoice Date,Supplier,Supplier Location,Department,Buyer,Item Code,Product Description,Unit,Quantity,Unit Price,Extended Amount,Discount Amount,Freight Amount,Tax Amount,Net Amount,Currency,Payment Terms
AP-202501-21483,,1/27/2025,,"OH, USA",Kitchen,A. Johnson,FRIES-3/8,,CASE,4,0.0,76.64,0.0,0.0,0.0,76.64,USD,Due on Receipt
BILL-202502-51322,PO-906647,2025-02-22,SYSCO NORTH FLORIDA,"WA, USA",Banquet,L. Davis,MILK-WHL,Milk Whole,GAL,35.73,3.17,113.26,4.92,0.0,4.19,112.53,USD,Due on Receipt
INV-202511-69869,PO-916566,2025-11-02,Baldor Specialty Foods ,"WA, USA",Kitchen,M. Carter,RICE-LG,LONG GRAIN RICE   ,Bag,6,18.19,109.14,0.0,0.0,1.49,110.63,USD,Net 30
INV-202511-80304,PO-888162,11/18/2025,Shamrock Foods,"IL, USA",Kitchen,A. Johnson,MOZZ-WM,Mozzarella Whole Milk   ,Lb,145.99,3.21,468.63,0.0,0.0,27.0,495.63,USD,Due on Receipt
INV-202501-52265,PO-595463,1/11/2025,Gordon Food Svc,"WA, USA",Cafe,L. Davis,FRIES-3/8,FRENCH FRIES 3/8 STRAIGHT CUT (PACK SIZE VARIED),cs,6,20.97,125.82,13.51,0.0,3.39,115.7,USD,Net 7
AP-202501-58298,PO-454129,2025-01-13,Imperial Dade Inc,"TX, USA",Banquet,M. Carter,RICE-LG,Long Grain Rice,BAG,41,14.64,600.24,8.02,0.0,6.92,599.14,USD,Net 7
BILL-202502-77465,PO-460260,2/1/2025,Local Farm & Garden,"PA, USA",Restaurant,P. Wilson,LETT-ROM,Lettuce Romaine  ,CASE,43,29.34,1261.62,0.0,0.0,78.15,1339.77,USD,Net 7
AP-202510-84006,PO-729252,2025-10-19,,"NC, USA",Kitchen,R. Smith,OIL-OLV,,GAL,38.04,0.0,745.58,0.0,0.0,0.0,745.58,USD,Net 30
BILL-202510-89843,,10/01/2025,Performance FS,"PA, USA",Banquet,L. Davis,SALM-ATL,Salmon Fillet Atlantic,Lb,244.6,10.77,2634.34,0.0,0.0,105.64,2739.98,USD,Net 30
BILL-202507-44796,PO-283373,7/4/2025,BALDOR SPECIALTY FOODS,"WA, USA",Bar,A. Johnson,RICE-LG,Long Grain Rice  ,Bag,13,26.37,342.81,0.0,0.0,26.8,369.61,USD,Due on Receipt
AP-202505-42560,,5/16/2025,Fresh Point Produce,"IL, USA",Restaurant,L. Davis,BEEF-8020,Ground Beef 80/20,Lb,383.5,4.22,1618.37,0.0,0.0,57.67,1676.04,USD,Due on Receipt
AP-202501-76075,,01/25/2025,PFG,"FL, USA",Banquet,L. Davis,RICE-LG,Long Grain Rice chef's line,BG,35,14.16,495.6,0.0,0.0,35.35,530.95,USD,Net 30
INV-202507-49682,PO-590095,07/17/2025,Ben E. Keith Foods ,"GA, USA",Bar,L. Davis,FRIES-3/8,French Fries 3/8 Straight Cut,Case,1,17.14,17.14,0.0,0.56,0.74,18.44,USD,Net 15
BILL-202511-56722,PO-241096,11/10/2025,Fresh Point Produce,"NC, USA",Bakery,M. Carter,GLOVE-M,Nitrile Gloves Medium   ,CS,27,52.5,1417.5,0.0,0.0,6.82,1424.32,USD,Net 15
BILL-202504-94283,PO-322309,04/17/2025,US Foods - Atlanta,"FL, USA",Banquet,R. Smith,CHK-BRST-01, Chicken Breast Boneless Skinless  ,Lb,366.19,4.49,1644.19,0.0,0.0,38.33,1682.52,USD,Net 7
AP-202508-82325,PO-566649,08/01/2025,Ben E. Keith Foods ,"WA, USA",Bar,R. Smith,RICE-LG,Long Grain Rice   ,Bag,3,27.72,83.16,0.0,0.0,4.79,87.95,USD,Net 30
INV-202501-53388,PO-253521,01/25/2025,US FOODS ATL DIV,"GA, USA",Housekeeping,J. Brown,TOM-ROMA,Tomatoes Roma,Case,-27.0,21.71,-586.17,0.0,0.0,39.92,-546.25,USD,Net 15
INV-202501-48231,PO-520176,01/31/2025,Sysco N. Florida,"GA, USA",Cafe,M. Carter,FLOUR-AP, Flour All Purpose,BG,14,17.3,242.2,0.0,0.0,8.36,250.56,USD,Net 30
AP-202502-58576,PO-987622,2/3/2025,US FOODS ATLANTA,"NC, USA",Kitchen,L. Davis,MOZZ-WM,Mozzarella Whole Milk   ,lb,384.41,3.89,1495.35,0.0,0.0,31.49,1526.84,USD,Due on Receipt
BILL-202512-19254,PO-857383,12/20/2025,Sysco North Florida ,"NY, USA",Housekeeping,J. Brown,NAPKIN-DN,NAPKINS DINNER / CHILLED,CASE,29,25.22,731.38,0.0,0.0,55.97,787.35,USD,Net 30
INV-202510-57331,PO-367230,10/11/2025,FreshPoint,"OH, USA",Bakery,R. Smith,CHK-BRST-01,Chicken Breast Boneless Skinless,LBS,390.71,4.01,1566.75,0.0,12.0,76.37,1655.12,USD,Net 30
AP-202505-60889,PO-476196,5/14/2025,Fresh Point Produce,"GA, USA",Cafe,M. Carter,LETT-ROM,Lettuce Romaine  ,CASE,43,32.73,1407.39,0.0,0.0,0.6,1407.99,USD,Net 15
INV-202504-93638,PO-849011,2025-04-18,Ben E Keith,"OH, USA",Bar,R. Smith,MILK-WHL,Milk Whole,GAL,29.87,3.74,111.71,0.0,0.0,1.09,112.8,USD,Net 15
INV-202512-68848,PO-299040,12/5/2025,Shamrock Foods,"WA, USA",Restaurant,P. Wilson,MILK-WHL,Milk Whole / chilled,gal,4.33,3.12,13.51,12.09,0.0,0.02,1.44,USD,Due on Receipt
BILL-202507-71931,PO-449971,7/6/2025,US FOODS ATLANTA,"GA, USA",Banquet,P. Wilson,FLOUR-AP,Flour All Purpose   ,BAG,3,15.9,47.7,0.0,0.0,0.38,48.08,USD,Net 15
BILL-202512-79355,PO-676447,2025-12-03,IMPERIAL DADE,"GA, USA",Cafe,A. Johnson,BEEF-8020,Ground Beef 80/20,lb,331.68,5.47,1814.29,0.0,0.0,102.44,1916.73,USD,Net 7
BILL-202503-86873,PO-455073,3/15/2025,Fresh Point Produce,"WA, USA",Bakery,A. Johnson,ONION-YEL,Onions Yellow chef's line,LB,276.96,0.92,254.8,4.8,0.0,7.47,257.47,USD,Net 15
BILL-202502-40373,,2025-02-19,BALDOR SPECIALTY FOODS,"OH, USA",Bar,R. Smith,LETT-ROM,Lettuce Romaine,CS,25,21.28,532.0,0.0,0.0,30.34,562.34,USD,Due on Receipt
BILL-202508-31920,PO-518813,08/02/2025,Imperial Dade ,"IL, USA",Cafe,L. Davis,LETT-ROM,Lettuce Romaine,cs,45,33.58,1511.1,0.0,0.0,44.61,1555.71,USD,Net 15
AP-202512-64583,PO-443213,12/01/2025,Performance FS,"NY, USA",Housekeeping,A. Johnson,LETT-ROM,Lettuce Romaine chef's line,CASE,41,32.45,1330.45,0.0,8.96,94.2,1433.61,USD,Due on Receipt
BILL-202506-26388,PO-473775,6/30/2025,,"CA, USA",Banquet,A. Johnson,AVO-HASS,,cs,29,0.0,807.94,0.0,0.0,0.0,807.94,USD,Net 30
INV-202501-57064,PO-493809,01/25/2025,US FOODS ATL DIV,"TX, USA",Bakery,R. Smith,OIL-OLV,Olive Oil Extra Virgin chef's line,GAL,60.09,25.21,1514.87,0.0,0.0,84.59,1599.46,USD,Net 7
AP-202507-55767,PO-735112,7/8/2025,PFG,"GA, USA",Kitchen,A. Johnson,BACON-14,Bacon Sliced 14/18 ct chef's line,Lb,23.07,5.45,125.73,14.07,0.0,3.51,115.17,USD,Net 15
INV-202506-50914,,6/14/2025,Sysco N. Florida,"NC, USA",Bakery,J. Brown,BRRY-MIX,Mixed Berries Frozen,Case,3,24.1,72.3,0.0,0.0,1.2,73.5,USD,Net 15
